,Crop,N,P,K,pH
0,rice,80,40,40,5.5
3,maize,80,40,20,5.5
5,chickpea,40,60,80,5.5
12,kidneybeans,20,60,20,5.5
13,pigeonpeas,20,60,20,5.5
14,mothbeans,20,40,20,5.5
15,mungbean,20,40,20,5.5
18,blackgram,40,60,20,5.0
24,lentil,20,60,20,5.5
60,pomegranate,20,10,40,5.5
61,banana,100,75,50,6.5
62,mango,20,20,30,5.0
63,grapes,20,125,200,4.0
66,watermelon,100,10,50,5.5
67,muskmelon,100,10,50,5.5
69,apple,20,125,200,6.5
74,orange,20,10,10,4.0
75,papaya,50,50,50,6.0
88,coconut,20,10,30,5.0
93,cotton,120,40,20,5.5
94,jute,80,40,40,5.5
95,coffee,100,20,30,5.5
97,rice,80,40,40,5.52
100,maize,80,40,20,5.52
102,chickpea,40,60,80,5.52
109,kidneybeans,20,60,20,5.52
110,pigeonpeas,20,60,20,5.52
111,mothbeans,20,40,20,5.52
112,mungbean,20,40,20,5.52
115,blackgram,40,60,20,5.02
121,lentil,20,60,20,5.52
157,pomegranate,20,10,40,5.52
158,banana,100,75,50,6.52
159,mango,20,20,30,5.02
160,grapes,20,125,200,4.02
163,watermelon,100,10,50,5.52
164,muskmelon,100,10,50,5.52
166,apple,20,125,200,6.52
171,orange,20,10,10,4.02
172,papaya,50,50,50,6.02
185,coconut,20,10,30,5.02
190,cotton,120,40,20,5.52
191,jute,80,40,40,5.52
192,coffee,100,20,30,5.52
194,rice,80,40,40,5.54
197,maize,80,40,20,5.54
199,chickpea,40,60,80,5.54
206,kidneybeans,20,60,20,5.54
207,pigeonpeas,20,60,20,5.54
208,mothbeans,20,40,20,5.54
209,mungbean,20,40,20,5.54
212,blackgram,40,60,20,5.04
218,lentil,20,60,20,5.54
254,pomegranate,20,10,40,5.54
255,banana,100,75,50,6.54
256,mango,20,20,30,5.04
257,grapes,20,125,200,4.04
260,watermelon,100,10,50,5.54
261,muskmelon,100,10,50,5.54
263,apple,20,125,200,6.54
268,orange,20,10,10,4.04
269,papaya,50,50,50,6.04
282,coconut,20,10,30,5.04
287,cotton,120,40,20,5.54
288,jute,80,40,40,5.54
289,coffee,100,20,30,5.54
291,rice,80,40,40,5.56
294,maize,80,40,20,5.56
296,chickpea,40,60,80,5.56
303,kidneybeans,20,60,20,5.56
304,pigeonpeas,20,60,20,5.56
305,mothbeans,20,40,20,5.56
306,mungbean,20,40,20,5.56
309,blackgram,40,60,20,5.06
315,lentil,20,60,20,5.56
